Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;32.80;32.90;32.20;32.80;" 16:17";CET;7503;243523.60;32.80;
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;20.10;20.25;19.90;20.25;" 16:25";CET;181863;3657685.51;20.25;
"DELLIA GROUP";NO0012697095;DELIA;"Oslo Børs";NOK;383.00;394.00;382.00;394.00;" 16:25";CET;5842;2277184.00;394.00;
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;1.14;1.36;1.106;1.36;" 16:29";CET;4551694;5491980.22;1.36;
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;280.70;285.60;280.00;284.40;" 16:28";CET;1862387;527982451.20;284.40;
DNO;NO0003921009;DNO;"Oslo Børs";NOK;19.52;19.93;19.40;19.63;" 16:27";CET;4489197;88296099.97;19.63;
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;143.00;143.70;141.70;143.40;" 16:28";CET;348226;49813208.90;143.40;
"DOLPHIN DRILLING";NO0013711739;DDRIL;"Euronext Growth Oslo";NOK;2.72;2.95;2.72;2.86;" 16:25";CET;1514890;4296440.50;2.86;
"EAM SOLAR";NO0013601245;EAM;"Euronext Growth Oslo";NOK;1.835;1.90;1.80;1.80;" 16:25";CET;348914;650386.30;1.80;
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;16.75;17.25;16.60;17.25;" 16:18";CET;48189;805284.35;17.25;
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;0.1995;0.213;0.1995;0.204;" 16:25";CET;182864;37483.03;0.204;
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;15.55;15.55;15.20;15.20;" 16:18";CET;26073;398981.70;15.20;
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;27.84;28.78;27.70;28.78;" 16:25";CET;498848;14147667.22;28.78;
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;3.65;3.67;3.50;3.625;" 16:25";CET;157585;570878.21;3.625;
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;31.20;31.20;30.50;30.90;" 16:25";CET;425222;13098801.30;30.90;
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;37.00;37.00;34.95;35.25;" 16:25";CET;378845;13392291.00;35.25;
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;119.00;121.40;118.40;120.00;" 16:25";CET;190888;22865435.40;120.00;
ENERGEIA;NO0013698431;ENERG;"Euronext Growth Oslo";NOK;7.92;7.92;7.32;7.42;" 14:58";CET;64811;483189.40;7.42;
"ENSURGE MICROPOWER";NO0013186460;ENSU;"Oslo Børs";NOK;0.646;0.673;0.646;0.66;" 16:25";CET;299951;195767.84;0.66;
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;103.20;105.60;102.20;105.60;" 16:25";CET;73560;7667417.40;105.60;
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;50.10;51.30;50.10;50.20;" 16:25";CET;223094;11317941.50;50.20;
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;368.30;372.30;359.00;365.00;" 16:29";CET;3044964;1114837843.15;365.00;
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;3.40;3.40;3.07;3.13;" 16:13";CET;105996;332149.27;3.13;
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;90.20;90.60;89.30;90.60;" 16:29";CET;232198;20925890.10;90.60;
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;1.32;1.56;1.32;1.33;" 15:35";CET;46533;64178.89;1.33;
"FJORD DEFENCE GR";NO0013647693;DFENS;"Oslo Børs";NOK;15.60;15.75;15.40;15.50;" 16:25";CET;45390;708162.95;15.50;
"FLEKKEFJORD SPAREB";NO0013209858;FFSB;"Euronext Growth Oslo";NOK;118.00;118.00;118.00;118.00;" 10:54";CET;4;472.00;118.00;
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;343.00;347.90;338.30;347.90;" 16:27";CET;547975;188271201.20;347.90;
"GENERAL OCEANS";NO0013713115;GENO;"Oslo Børs";NOK;25.00;25.00;22.85;24.45;" 16:25";CET;1325946;31782866.63;24.45;
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;38.90;39.60;36.20;39.50;" 16:25";CET;11295;434453.00;39.50;
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;9.06;9.06;7.94;8.00;" 16:29";CET;217138;1846013.92;8.00;
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;251.00;257.20;250.00;257.20;" 16:28";CET;319473;81904030.40;257.20;
