Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"GOLDEN ENERGY OFF";NO0013228585;GEOS;"Euronext Growth Oslo";NOK;9.20;10.20;9.20;9.50;" 16:28";CET;639328;6160089.35;9.50;
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;11.30;11.40;11.25;11.25;" 16:25";CET;26445;298551.95;11.25;
"GREEN MINERALS";NO0010907744;GEM;"Euronext Growth Oslo";NOK;1.385;1.385;1.20;1.29;" 16:25";CET;40457;49181.04;1.29;
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;32.30;33.44;32.22;33.24;" 16:25";CET;569001;18807093.36;33.24;
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;180.48;180.48;175.18;178.00;" 16:04";CET;1294;229036.34;178.00;
"GULF KEYSTONE PET";BMG4209G2077;GKP;"Euronext Growth Oslo";NOK;24.00;24.00;23.25;23.65;" 14:47";CET;2961;70668.65;23.65;
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;400.00;400.00;400.00;400.00;" 10:08";CET;2;800.00;400.00;
"HAFNIA LIMITED";SGXZ53070850;HAFNI;"Oslo Børs";NOK;81.10;81.85;80.20;81.85;" 16:27";CET;452844;36845779.55;81.85;
"HAUGESUND SPB";NO0010764053;HGSB;"Oslo Børs";NOK;160.02;165.00;160.00;165.00;" 14:12";CET;149;23870.02;165.00;
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;16.90;16.90;16.15;16.75;" 16:19";CET;151732;2510285.60;16.75;
"HAVILA KYSTRUTEN";NO0013696799;HKY;"Euronext Growth Oslo";NOK;50.00;51.00;48.60;51.00;" 16:10";CET;3393;169268.90;51.00;
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;1.27;1.28;1.22;1.22;" 15:47";CET;92750;115409.97;1.22;
"HERMANA HOLDING";NO0013401380;HERMA;"Oslo Børs";NOK;15.50;15.60;14.90;15.40;" 12:57";CET;9614;148540.20;15.40;
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;10.88;10.88;10.25;10.40;" 16:25";CET;2425127;25314226.76;10.40;
"HEXAGON PURUS";NO0013751966;HPUR;"Oslo Børs";NOK;13.00;13.00;12.00;12.70;" 16:19";CET;16622;210991.45;12.70;
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Oslo Børs";NOK;146.00;146.00;139.80;141.20;" 16:25";CET;124436;17607443.60;141.20;
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;1.265;1.315;1.26;1.275;" 16:18";CET;90535;114822.36;1.275;
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;0.52;0.58;0.50;0.55;" 16:04";CET;690823;382138.98;0.55;
HUDDLY;NO0013470534;HDLY;"Euronext Growth Oslo";NOK;33.00;33.30;33.00;33.20;" 16:25";CET;1323;44017.50;33.20;
"HUNTER GROUP";NO0012953720;HUNT;"Euronext Expand Oslo";NOK;6.87;7.02;6.66;6.94;" 16:28";CET;3626216;24841364.08;6.94;
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;3.32;3.42;3.00;3.10;" 16:25";CET;608264;1901141.43;3.10;
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0.0198;0.0198;0.0178;0.0196;" 16:27";CET;943571;17880.98;0.0196;
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;139.20;144.00;137.50;143.00;" 16:25";CET;518248;73302320.30;143.00;
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;160.00;160.00;160.00;160.00;" 10:53";CET;528;84480.00;160.00;
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;85.00;85.00;80.50;81.00;" 16:25";CET;637;52881.00;81.00;
"IDEX BIOMETRICS";NO0013536078;IDEX;"Oslo Børs";NOK;7.20;7.32;7.06;7.06;" 16:29";CET;27899;200008.14;7.06;
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;2.13;2.13;1.995;2.04;" 16:19";CET;72729;150003.71;2.04;
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;3.46;3.94;3.46;3.94;" 13:47";CET;1051;3866.46;3.94;
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;3.08;3.28;3.08;3.28;" 14:50";CET;11000;34720.00;3.28;
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;4.30;4.30;4.19;4.30;" 16:25";CET;274797;1169116.46;4.30;
"INTEGRATED WIND SO";NO0013461350;IWS;"Oslo Børs";NOK;62.40;62.60;61.60;61.60;" 16:25";CET;5229;324019.80;61.60;
"INTEROIL EXPL PROD";NO0013119255;IOX;"Oslo Børs";NOK;3.00;3.14;2.88;2.95;" 16:25";CET;249362;755055.87;2.95;
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;6.56;6.70;6.56;6.60;" 15:20";CET;35621;237195.74;6.60;
JACKTEL;NO0012477704;JACK;"Euronext Growth Oslo";NOK;4.95;5.02;4.88;4.90;" 16:25";CET;302742;1501499.55;4.90;
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;6.40;6.60;6.40;6.44;" 16:16";CET;70062;451314.82;6.44;
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;348.45;348.45;341.45;344.00;" 16:25";CET;220;75636.70;344.00;
KALDVIK;NO0010884794;KLDVK;"Euronext Growth Oslo";NOK;3.30;3.40;3.20;3.22;" 16:13";CET;43647;140187.64;3.22;
KID;NO0010743545;KID;"Oslo Børs";NOK;115.60;116.40;115.00;115.80;" 16:28";CET;110475;12789891.40;115.80;
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;108.30;108.30;105.10;105.20;" 16:27";CET;511537;54157473.50;105.20;
